C:\Users\kohlm\Desktop\arbeit\qPCR\130320 Standards BSP RIDA BSP.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	15	Salmo	 17	    11030	59.7
 2	P	 2	15	Salmo	 18	    11106	59.7
 2	P	 2	15	Salmo	 19	    11016	59.7
 2	P	 2	15	Salmo	 20	    11109	59.7
 2	P	 2	15	Salmo	 21	    11150	59.7
 2	P	 2	15	Salmo	 22	    11059	59.7
 2	P	 2	15	Salmo	 23	    11130	59.7
 2	P	 2	15	Salmo	 24	    11092	59.7
 2	P	 2	15	Salmo	 25	    11062	59.7
 2	P	 2	15	Salmo	 26	    11213	59.7
 2	P	 2	15	Salmo	 27	    11207	59.7
 2	P	 2	15	Salmo	 28	    11255	59.7
 2	P	 2	15	Salmo	 29	    11287	59.7
 2	P	 2	15	Salmo	 30	    11307	59.7
 2	P	 2	15	Salmo	 31	    11358	59.7
 2	P	 2	15	Salmo	 32	    11411	59.7
 2	P	 2	15	Salmo	 33	    11553	59.7
 2	P	 2	15	Salmo	 34	    11549	59.7
 2	P	 2	15	Salmo	 35	    11501	59.7
 2	P	 2	15	Salmo	 36	    11490	59.7
 2	P	 2	15	Salmo	 37	    11601	59.7
 2	P	 2	15	Salmo	 38	    11555	59.7
 2	P	 2	15	Salmo	 39	    11607	59.7
 2	P	 2	15	Salmo	 40	    11561	59.7
 2	P	 2	15	Salmo	 41	    11536	59.7
 2	P	 2	15	Salmo	 42	    11572	59.7
 2	P	 2	15	Salmo	 43	    11561	59.7
 2	P	 2	15	Salmo	 44	    11644	59.7
 2	P	 2	15	Salmo	 45	    11614	59.7
 2	P	 2	16	Campy	  1	     4900	59.6
 2	P	 2	16	Campy	  2	     4780	59.6
 2	P	 2	16	Campy	  3	     4721	59.6
 2	P	 2	16	Campy	  4	     4705	59.6
 2	P	 2	16	Campy	  5	     4708	59.6
 2	P	 2	16	Campy	  6	     4705	59.6
 2	P	 2	16	Campy	  7	     4709	59.7
 2	P	 2	16	Campy	  8	     4703	59.7
 2	P	 2	16	Campy	  9	     4694	59.7
 2	P	 2	16	Campy	 10	     4701	59.7
